,City Location,Company Name,Degree,Description,Job Title,Search Criteria,Source
2483,"Dayton, OH",LGS Innovations,network+engineer,"
Lead or participate in the design, development, integration, deployment and operational implementation of software products in all phases of the systems...",Software Engineer,network+engineer,Indeed
2484,"Columbus, OH 43201 (Weinland Park area)",Battelle,network+engineer,"
+ Experience with network protocols and configuration of networks. We are currently seeking a Cyber Test Engineer....",Cyber Test Engineer,network+engineer,Indeed
2485,"Columbus, OH",Synergy Consulting Group,network+engineer,"
Minimum 5 years of working experience administering storage area networks such as EMC, EqualLogic and Nimble....",Systems Engineer,network+engineer,Indeed
2486,"Urbana, OH 43078",WEIDMANN ELECTRICAL TECHNOLOGY INC.,network+engineer,"
Join our team as a *CONTROLS ENGINEER*. Proficient in several programming languages and control device networks including, but not limited to Siemens, Allen...",Controls Engineer,network+engineer,Indeed
2487,"Cincinnati, OH",Northrop Grumman,network+engineer,"
Kernel mode, embedded, command and control, operating system applications, network applications. Experience with reverse engineering tools, kernel mode...",Cyber Software Engineer 3,network+engineer,Indeed
2488,"Groveport, OH",ManifestSolutions,network+engineer,"
Manifest Solutions is currently seeking a GridSMART Field Engineer for a position in Groveport, Ohio. Ability to bridge gap for troubleshooting between gSOC,...",GridSMART Field Engineer,network+engineer,Indeed
2489,"Gahanna, OH",Arrow Electronics,network+engineer,"
Ability to assist with design and implementation of solutions to address customer requirements. Five Years Out is a community of builders, designers, engineers...",Contracts Specialist- Legal,network+engineer,Indeed
2490,"Columbus, OH",Beacon Hill Technologies,network+engineer,"
Systems Engineer (Linux)*. Experience monitoring network traffic through tcpdump and/or WinDump. 5+ years of experience acting as a Systems Engineer....",LINUX/DNS/BIND Engineer,network+engineer,Indeed
2491,"Loveland, OH",International Paper,network+engineer,"
Facilitate the implementation of standards and best practices by creating effective networks between different manufacturing location champions and Technology...",Reliability Engineer,network+engineer,Indeed
2492,"Cincinnati, OH",Cengage Learning,network+engineer,"
Assist in implementation of security best practices and initiatives at all levels of the infrastructure....",DevOps Engineer,network+engineer,Indeed
2493,"Columbus, OH",CareWorks Tech,network+engineer,"
Primary responsibilities will be to monitor, investigate, analyze both raw and normalized network traffic, correlate connected sequences of events, detect...",Security Administrator III (Information Security Office),network+engineer,Indeed
2503,"Evendale, OH",GE Aviation,network+engineer,"
Some areas of expertise may include, but is not limited to, networks, operating systems, databases or applications....",Sr Software Engineer - Data Analytics,network+engineer,Indeed
2504,"Cincinnati, OH",Northrop Grumman,network+engineer,"
Specify improvements to test and development network infrastructures. The Northrop Grumman Mission Systems Cincinnati Campus is looking for Test engineers to...",ISR Test Engineer 3,network+engineer,Indeed
2505,"Blue Ash, OH",LSI Industries,network+engineer,"
These technologies will include LEDs, power electronics, sensors, various networks. You will work with Engineers, business, marketing people to understand...",Senior R &D Technician,network+engineer,Indeed
2506,"Columbus, OH",Centric Consulting,network+engineer,"
What We Look For In A Test Automation Engineer. Supportive environment – We expect a lot from our Test Automation Engineers....",Test Automation Engineer,network+engineer,Indeed
2507,"Erlanger, KY 41018",DHL,network+engineer,"
The Industrial Engineer may contribute to the development of budgets and forecasts. Coordinates routing system changes with airline, hub and ground network in...",Industrial Engineer,network+engineer,Indeed
2508,"Marysville, OH","Sumitomo Electric Wiring Systems, Inc.",network+engineer,"
Work with other design engineers to review and establish alternatives and countermeasures against design review results....",Bilingual Electronics Design Engineer (Japanese),network+engineer,Indeed
2509,"Cincinnati, OH 45240","SigmaTEK Systems, LLC",network+engineer,"
Windows Network certifications are a plus. All of our team members – whether in accounting, marketing or product development – thrive on the same curiosity...",Project Manager - SigmaTEK Services 1643,network+engineer,Indeed
2510,"Marysville, OH",Calance US,network+engineer,"
Applications and network security devices, in accordance with the defined policies,. Report unresolved network security exposures, misuse of resources or...",Security Administrator/Engineer,network+engineer,Indeed
2511,"Sidney, OH","MBS Associates, Inc.",network+engineer,"
Industrial networks (DeviceNet, Ethernet, etc.). W e are assisting our customer in finding a Manufacturing Engineer/Technician working with controls for...",IT - Manufacturing Engineer - Controls,network+engineer,Indeed
2512,"Dayton, OH",USfalcon Inc,cyber+security,"
Applicants selected will be subject to a security investigation and may need to meet eligibility requirements for access to classified information;...","Controls, Buses, and Displays Engineer SME with Security Cle...",cyber+security,Indeed
2513,"Cincinnati, OH",Sogeti,cyber+security,"
Sogeti offers cutting-edge solutions around Testing, Business Intelligence & Analytics, Mobile, Cloud and Cyber Security, combining world class methodologies...",TopQuadrant Developer / Lead,cyber+security,Indeed
2514,"Columbus, OH 43209 (Bexley area)",Avtech Solutions,cyber+security,"
Infra Specialist - Network & Security Admin-L3Location:. Hi, I have the following position are you comfortable for this opportunity share me a Profile....",Network Security with SOPHOS,cyber+security,Indeed
2515,"Dayton, OH 45431","Quantech Services, Inc.",cyber+security,"
Identifying risks and issues (including Operational Security (OPSEC) and Information Security (INFOSEC); Information system security incident handling;...",Senior Information Assurance Associate with Security Clearan...,cyber+security,Indeed
2516,"Cincinnati, OH",Sogeti,cyber+security,"
Sogeti offers cutting-edge solutions around Testing, Business Intelligence & Analytics, Mobile, Cloud and Cyber Security, combining world class methodologies...",Enovia Developer / Lead,cyber+security,Indeed
2517,"Marysville, OH","UNICON International, Inc.",cyber+security,"
Leads technical direction in designing and implementing security solutions for security technical infrastructure....",Security Administrator,cyber+security,Indeed
2518,"Wright-Patterson AFB, OH",Mitre Corporation,cyber+security,"
Only US citizens are eligible for a security clearance. For this position, MITRE will consider only applicants with TS/SCI security clearances....",Senior Avionics and RF Systems Engineer,cyber+security,Indeed
2519,"New Albany, OH",American Electric Power,cyber+security,"
Support Cyber Security initiatives including NERC CIP. Transmission Protection & Control Engineering....","Engineer Sr - Engineer Staff, Transmission Protection & Cont...",cyber+security,Indeed
2520,"Wright-Patterson AFB, OH 45433",Sawdey Solution Services,cyber+security,"
, an ISO 9001 certified company, provides innovative strategic and technical planning, information technology, acquisition, integration, cyber security,...",Technical Writer/Publisher_WPAFB,cyber+security,Indeed
2521,"Edinburgh, IN","IAP Worldwide Services, Inc",cyber+security,"
Must possess an active TOP SECRET/SCI Security Clearance. Experience in Information Operations and/or Cyber Operations is required. IAP – Ingenuity and Purpose....","Telecommunications Specialist, Senior (Camp Atterbury–Muscat...",cyber+security,Indeed
2522,"Cincinnati, OH",EY,cyber+security,"
And, ERP security and controls reviews (Oracle, SAP, or PeopleSoft). Risk Assurance Manager (Multiple Positions)....",Risk Assurance Manager (Multiple Positions),cyber+security,Indeed
2523,"Columbus, OH",JPMorgan Chase,cyber+security,"
IT Risk & Security Management's. Accomplish this through strong information security leadership and. Provide high quality security solutions and services that...","VP, J2EE Development Lead & Database Development Lead",cyber+security,Indeed
2524,"Dayton, OH 45430","MacAulay-Brown, Inc.",cyber+security,"
The Senior Cyber Security Engineer applies senior Cybersecurity expertise and experience to AFSOC training systems....",Senior Cyber Security Engineer,cyber+security,Indeed
2525,"Dayton, OH",Fulcrum,cyber+security,"
Coordinate Cyber Incident awareness with the Security Coordination Center (SCC). Fulcrum specializes in the areas of Technology Services, Cyber Security,...",Sr. Watch Analyst,cyber+security,Indeed
2526,"Piketon, OH",Pro2Serve,cyber+security,"
Â€¢Annual Cyber Security. Security, Fire Department, Facility Custodians, Safety and power Operations for utility Isolations and tie ins....",Construction Engineer,cyber+security,Indeed
2527,"Portsmouth, OH",System One Services,cyber+security,"
Investigates and remediates information security incidents, participates in network security architecture reviews and maintains information security policies...",IT Administrator,cyber+security,Indeed
2528,"Cincinnati, OH",P&G,cyber+security,"
Keep current with IAM security technologies. All Corporate Information Security roles require CISSP certification....",Information Technology - Information Security Identity Manag...,cyber+security,Indeed
2529,"Columbus, OH 43207 (Tri-South area)","Blue Star Partners, LLC",cyber+security,"
SUMMARYThe Business Intelligence Analyst will be a member of an agile, collaborative team that utilizes cutting-edge analytics software to transform data into",Business Intelligence Analyst,cyber+security,Indeed
2530,"Continental, OH",Afognak Native Corporation/Alutiiq LLC and its sub,cyber+security,"
Ability to possess/maintain a Minimum Risk Public Trust (MRPT) Certification by the Bureau of Diplomatic Security....",Police Instructor,cyber+security,Indeed
2531,"Columbus, OH","Key Business Solutions, Inc.",cyber+security,"
Maintains security event logs. Need Local or Regional&&&F2F....",Oracle DBA,cyber+security,Indeed
2532,"Dayton, OH",USfalcon,cyber+security,"
Must possess a Final Secret Security Clearance. Applicants selected will be subject to a security investigation and may need to meet eligibility requirements...",Senior Engineer - Information Assurance,cyber+security,Indeed
2533,"Cincinnati, OH",Procter & Gamble,cyber+security,"
Keep current with IAM security technologies. All Corporate Information Security roles require CISSP certification....",Information Technology - Information Security Identity Manag...,cyber+security,Indeed
2534,"Raymond, OH",LHP Engineering Resource Division,cyber+security,"
Responsibilities will include: â€¢ The development of a control unit which manages CAN and/or other communication networks between multiple domains and",Senior Vehicle Network Architecture Engineer,cyber+security,Indeed
2535,"Dayton, OH",USfalcon Inc,cyber+security,"
Job Description and Requirements: USfalcon, recognized as one of the fastest growing, privately held companies in the United States, is seeking a Junior",Junior Defensive Systems Engineer with Security Clearance,cyber+security,Indeed
2536,"Dayton, OH",USfalcon Inc,cyber+security,"
Job Description and Requirements: USfalcon, recognized as one of the fastest growing, privately held companies in the United States, is seeking a Junior Crew",Junior Crew Systems Engineer with Security Clearance,cyber+security,Indeed
2537,"Wright Pat, OH 45433",DNI (Delaware Nation Industries),cyber+security,"
Responsible for overall execution of the daily security and cyber security activities (audits, scans, etc.)....",Information Systems Security Administrator,cyber+security,Indeed
2538,"Fishers, IN",Tanisha Systems Inc.,cyber+security,"
Security background, CISSP, Java certifications. Conform to standards for documentation, procedures, and compliance for projects within corporate guidelines for...",Sailpoint Developer/Lead,cyber+security,Indeed
2539,"Fishers, IN",Navient,cyber+security,"
Conform to standards for documentation, procedures, and compliance for projects within corporate guidelines for architecture, security, and scalability....",SailPoint Developer,cyber+security,Indeed
2540,"Columbus, OH",Canoesys Inc,cyber+security,"
Designing, developing, implementing and maintaining security infrastructure to provide highly-complex, reliable, and scalable security solutions and systems to...",Senior Architect Infrastructure Manager,cyber+security,Indeed
2541,"Edinburgh, IN","IAP Worldwide Services, Inc",cyber+security,"
Must possess an active TOP SECRET/SCI Security Clearance. Experience in Information Operations and/or Cyber Operations is required. IAP – Ingenuity and Purpose....",Sr. Intelligence Training Specialist (Camp Atterbury–Muscata...,cyber+security,Indeed
2542,"Wright-Patterson AFB, OH","MCR, LLC",cyber+security,"
THE COMPANY MCR is the trusted leader in integrated program management solutions. Since 1977, we have provided objectivity, smart thinking and the highest",SIGINT Systems Engineer SME with Security Clearance,cyber+security,Indeed
2543,"Marysville, OH 43040",Delta Computer Consulting,cyber+security,"
Perform installation and configuration management of security systems application, including policy assessment and compliance tools, network security appliances...",(AMO10318) Security Administrator III,cyber+security,Indeed
2544,"Dayton, OH",USfalcon Inc,cyber+security,"
Job Description and Requirements: USfalcon, recognized as one of the fastest growing, privately held companies in the United States, is seeking a Senior",Senior Infomation Assurance Engineer with Security Clearance,cyber+security,Indeed
2545,"Dayton, OH",USfalcon Inc,cyber+security,"
Job Description and Requirements: USfalcon, recognized as one of the fastest growing, privately held companies in the United States, is seeking a Senior Fuel",Senior Fuel Systems Engineer with Security Clearance,cyber+security,Indeed
2546,"Dayton, OH",USfalcon Inc,cyber+security,"
Job Description and Requirements: USfalcon, recognized as one of the fastest growing, privately held companies in the United States, is seeking a Senior",Senior Defensive Systems Engineer with Security Clearance,cyber+security,Indeed
2547,"Dayton, OH",USfalcon Inc,cyber+security,"
Job Description and Requirements: USfalcon, recognized as one of the fastest growing, privately held companies in the United States, is seeking a Senior Crew",Senior Crew Systems Engineer with Security Clearance,cyber+security,Indeed
2548,"Dayton, OH",USfalcon Inc,cyber+security,"
Job Description and Requirements: USfalcon, recognized as one of the fastest growing, privately held companies in the United States, is seeking a Senior",Senior Flight Mechanics Engineer with Security Clearance,cyber+security,Indeed
2549,"Dayton, OH",USfalcon Inc,cyber+security,"
Job Description and Requirements: USfalcon, recognized as one of the fastest growing, privately held companies in the United States, is seeking a Senior",Senior Structures Engineer with Security Clearance,cyber+security,Indeed
2550,"Dayton, OH",USfalcon Inc,cyber+security,"
Job Description and Requirements: USfalcon, recognized as one of the fastest growing, privately held companies in the United States, is seeking a Crew Systems",Crew Systems Engineer SME with Security Clearance,cyber+security,Indeed
2551,"Dayton, OH 45430","MacAulay-Brown, Inc.",cyber+security,"
The candidate must have demonstrated experience related to acquisition platform and sensor cyber security along with a solid understanding of Risk Management...",Senior Cybersecurity Engineer,cyber+security,Indeed
2552,"Beavercreek, OH 45305",PricewaterhouseCoopers LLC,cyber+security,"
Professionals in PwC Public Sector LLP may be subject to a government security investigation and may need to meet related eligibility requirements for access to...",Public Sector Process Improvement - Sr. Associate,cyber+security,Indeed
2553,"Dayton, OH 45430","MacAulay-Brown, Inc.",cyber+security,"
The candidate must have demonstrated experience related to acquisition platform and sensor cyber security along with a solid understanding of Risk Management...",SME Cybersecurity Engineer,cyber+security,Indeed
2554,"Dayton, OH 45431",Array Information Technology Inc.,cyber+security,"
Responsibilities: * Responsible for the installation, configuration and maintenance for all of the Oracle Business Intelligence (BI) technology stack software",Senior Systems Engineer/OBIEE with Security Clearance,cyber+security,Indeed
2555,"Marysville, OH","Tentek, Inc.",cyber+security,"
Security Admin (Cloud). Understanding of in security subjects. Participates in all phases of project planning in security service support, including functional...",Security Admin (Cloud),cyber+security,Indeed
2556,"Dayton, OH",USfalcon Inc,cyber+security,"
Must possess a Final Secret Security Clearance. Job Description and Requirements:....",Senior Engineer - Airworthiness with Security Clearance,cyber+security,Indeed
2557,"Edinburgh, IN","IAP Worldwide Services, Inc",cyber+security,"
Must have an active TOP SECRET/SCI Security Clearance. Responsible for developing and coordinates exercise scenarios which support Cyber and Technology-based...","Scenario Developer (Camp Atterbury–Muscatatuck, IN)",cyber+security,Indeed
2558,"Dayton, OH",Fulcrum,cyber+security,"
Fulcrum specializes in the areas of Technology Services, Cyber Security, Intelligence, Analysis & Operations, Missions Systems, Health Care and Human Capital....",Database Admin/Developer Test,cyber+security,Indeed
2559,"Cincinnati, OH 45209 (Oakley area)",Cognition Systems,cyber+security,"
In depth knowledge in any one of following security domains o Application security and DB Security • Superb communication skills, interpersonal skills and...",Application Security Engineer,cyber+security,Indeed
2560,"Dayton, OH 45433",MEI Technologies,cyber+security,"
Electronic Systems to be supported include, but are not limited to, airborne radars, ground-based radars, battle management, network integration and operation,...",Operations Research Analyst SME,cyber+security,Indeed
2561,"Ghent, KY","V-Soft Consulting Group, Inc.",cyber+security,"
This position is responsible for assisting the infrastructure team with the management of server systems, desktop computers, phone systems, electronic security,...",Desktop Support,cyber+security,Indeed
2562,"Dayton, OH",Fulcrum,cyber+security,"
Fulcrum specializes in the areas of Technology Services, Cyber Security, Intelligence, Analysis & Operations, Missions Systems, Health Care and Human Capital....",Jr Software Developer,cyber+security,Indeed
2563,"Mason, OH 45040",Macy's,cyber+security,"
Overview : Responsible for providing reports and insightful analytics in support of MCCS departments including Omnichannel, Credit Customer Service, Credit","Business Analyst II, Business Intelligence Department - Full...",cyber+security,Indeed
2564,"Cincinnati, OH",Lumenate,cyber+security,"
Support the Security Practice Manager on strategic initiatives. Next Generation Firewalls, Next Generations Intrusion Prevention, Web and Email Gateways, Data...",Security Consultant - Ohio Area,cyber+security,Indeed
2565,"Dayton, OH",BTS Software Solutions,cyber+security,"
BTS is seeking an experienced Software Developer with an active TS/SCI security clearance to develop web services, R&D, and visualization tools to process and...",Software Engineer with TS/SCI security clearance,cyber+security,Indeed
2566,"Beavercreek, OH","Abraxas, Cubic Global Defense",cyber+security,"
And security testing. System security design process; Cubic Global Defense a contractor to the Air Force Research Laboratory (AFRL) at Wright-Patterson Air...",Cyber Systems Administrator/Certified Information Systems Se...,cyber+security,Indeed
2567,"Dayton, OH",Oxford Search Group,cyber+security,"
Annotation-driven web application security. Oxford Search Group has been engaged to help identify various development professionals for a rapidly growing...",Full Stack Web Developer,cyber+security,Indeed
2568,"Wright-Patterson AFB, OH",G2S Corporation,cyber+security,"
Design, create, deploy, and maintain IOS/Android applications for Wing customers in accordance with AF cyber security standards....",Systems Analyst Support/Web Application Developer Support,cyber+security,Indeed
2569,"Wright-Patterson AFB, OH",Credence Management Solutions,cyber+security,"
Experience in Microsoft Office (Word, Excel, PowerPoint, Outlook) Education Requirement Bachelor's degree Security Clearance Requirement Secret Credence...",AFIT Program Analyst / PM with Security Clearance,cyber+security,Indeed
2570,"Cincinnati, OH",3coast,cyber+security,"
Only open to US Permanent Residents (Green Card holders) and US Citizens. Prefer LOCAL AREA candidates, as NO relocation is being paid by this client",Senior IT Auditor,cyber+security,Indeed
2571,"Wright-Patterson AFB, OH 45433",Sawdey Solution Services,cyber+security,"
, an ISO 9001 certified company, provides innovative strategic and technical planning, information technology, acquisition, integration, cyber security,...",Financial Manager_WPAFB,cyber+security,Indeed
2572,"Beavercreek, OH 45305",PricewaterhouseCoopers LLC,cyber+security,"
Professionals in PwC Public Sector LLP may be subject to a government security investigation and may need to meet related eligibility requirements for access to...",Public Sector Audit Readiness Senior Associate,cyber+security,Indeed
2573,"Dayton, OH",Fulcrum,cyber+security,"
Fulcrum specializes in the areas of Technology Services, Cyber Security, Intelligence, Analysis & Operations, Missions Systems, Health Care and Human Capital....",Mid Software Developer,cyber+security,Indeed
2574,"Beavercreek, OH",Cubic Corporation,cyber+security,"
And security testing. System security design process; Cubic Global Defense a contractor to the Air Force Research Laboratory (AFRL) at Wright-Patterson Air...",Cyber Systems Administrator/Certified Information Systems Se...,cyber+security,Indeed
2575,"Cincinnati, OH",RSM US LLP,cyber+security,"
Our Security and Privacy Risk Advisory Services team serves the Information Security and Data Privacy related needs of our clients....",2017 - Summer - Consulting Risk Advisory Services Security &...,cyber+security,Indeed
2576,"West Chester, OH",JFCR,cyber+security,"
Janfay Corporate Recruiting is a specialtyrecruiting and staffingfirm that specializes in theplacement of Accounting, Finance and Cyber Security Professionals...",HIRING: Merchandise Planner,cyber+security,Indeed
2577,"Columbus, OH 43218 (Downtown area)",WidePoint Corporation,cyber+security,"
5+ plus years experience with Information Assurance tools such as IDS' WIDS', ArcSught, Nessus.Must have TS clearance. Experience in the DoD environment is a",Senior IA Engineer,cyber+security,Indeed
2578,"Milford, OH","ReqRoute,Inc",cyber+security,"
IT Systems Admin, Engineering & Security. Hands-on knowledge of Server, Storage, Network and Network Security architectures....",4331 Cloud Solution Architect ( VMWare),cyber+security,Indeed
2579,"Dayton, OH",USfalcon Inc,cyber+security,"
Job Description and Requirements: USfalcon, recognized as one of the fastest growing, privately held companies in the United States, is seeking a Journeyman",Journeyman Systems Engineer with Security Clearance,cyber+security,Indeed
2580,"Dayton, OH",USfalcon Inc,cyber+security,"
Applicants selected will be subject to a security investigation and may need to meet eligibility requirements for access to classified information;...",Software Engineer SME with Security Clearance,cyber+security,Indeed
2581,"Dayton, OH",USfalcon Inc,cyber+security,"
Job Description and Requirements: USfalcon, recognized as one of the fastest growing, privately held companies in the United States, is seeking a Fuel Systems",Fuel Systems Engineer SME with Security Clearance,cyber+security,Indeed
2582,"Dayton, OH",USfalcon Inc,cyber+security,"
Job Description and Requirements: USfalcon, recognized as one of the fastest growing, privately held companies in the United States, is seeking a Junior Fuel",Junior Fuel Systems Engineer with Security Clearance,cyber+security,Indeed
2583,"Dayton, OH",USfalcon Inc,cyber+security,"
Job Description and Requirements: USfalcon, recognized as one of the fastest growing, privately held companies in the United States, is seeking a Journeyman",Journeyman Aerial Refueling Engineer with Security Clearance,cyber+security,Indeed
2592,"Dayton, OH",USfalcon Inc,cyber+security,"
Job Description and Requirements: USfalcon, recognized as one of the fastest growing, privately held companies in the United States, is seeking a Journeyman",Journeyman Fuel Systems Engineer with Security Clearance,cyber+security,Indeed
2593,"Cincinnati, OH",Fifth Third Bank,cyber+security,"
Windows, Mainframe, Database and exposure to cyber security, risk manager's governance, ITIL, architecture and infrastructure concept preferred....",Senior IT Auditor I,cyber+security,Indeed
2594,"Dayton, OH",Alion Science and Technology,cyber+security,"
Responsibilities: Alion Science and Technology is seeking a Senior Software Design Engineer to support Air Force Research Laboratory (AFRL) LVC training",Software Design Engineer Sr. with Security Clearance,cyber+security,Indeed
2595,"Dayton, OH",Alion Science and Technology,cyber+security,"
Responsibilities Alion Science and Technology is seeking a Software Design Engineer (Modeling) to support Air Force Research Laboratory (AFRL) LVC training",Software Design Engineer (Modeling) with Security Clearance,cyber+security,Indeed
2596,"Cincinnati, OH",Cincinnati Children's Hospital,cyber+security,"
Develop and implement role-based security in data warehouses and report delivery systems. PURPOSE OF POSITION:....",Senior Analyst-Developer - Business Intelligence,cyber+security,Indeed
2597,"Piketon, OH",Fluor-B&W,cyber+security,"
Ensure the SCADA system, or any other identified BES Cyber System, is managed in a manner that meets all applicable NERC requirements....",Systems Engineer Senior (NERC – BES Operations Technology Sp...,cyber+security,Indeed
2598,"Cincinnati, OH",JFCR,cyber+security,"
Janfay Corporate Recruiting is a boutique recruiting and staffing firm specializing in the placement of Accounting, Finance and Cyber Security Professionals.One...",HIRING: Senior Analyst - Financial Reporting,cyber+security,Indeed
2599,"Columbus, OH",Das Gemacht Inc.,cyber+security,"
Job Description Hi, We are DAS Gemacht a firm that specializes in ERP/CRM/SCM, Accounting and Financial Systems development. We are welcoming all applicants",IMMEDIATE HIRING (US CITIZENS ONLY) Business Analyst - ERP /...,cyber+security,Indeed
2600,"Cincinnati, OH",NuWaves Engineering,user+support,"
Support multiple domains with product roadmap development and implementation. Travel to support products, such as conferences or customer visits....","Applications Engineer, RF Products",user+support,Indeed
2601,"Columbus, OH",The Ohio State University,user+support,"
They understand the business needs of users of the reports and analytics built on top of the data they’re creating, and how/when users will be accessing and...",SR Systms Dev/Eng-Sap,user+support,Indeed
2602,"Cincinnati, OH",University of Cincinnati,user+support,"
MAC support & Configuration; At least three years of experience in desktop support, networking and Windows Server administration....",Computer & Information Analyst I - College of Law,user+support,Indeed
2603,"Columbus, IN 47201",Cummins Inc.,user+support,"
Ability to support new users through complex processes. Supports several aspects of a function’s. Enlists the support of his or her management....",Business Support Analyst,user+support,Indeed
2604,"Columbus, OH",Express,user+support,"
Cross Functional Operational Support. Support field execution and compliance for the workforce management system, Kronos....",Store Capabilities Intern - Summer 2017,user+support,Indeed
2605,"Columbus, OH 43219 (Northeast area)",DSW,user+support,"
Provide production support:. Evaluates results on production systems requested from user groups or production support....","Senior Systems Analyst, Integration Job",user+support,Indeed
2606,"Wright-Patterson AFB, OH","MCR, LLC.",user+support,"
Must have the experience and capability to support the assigned tasks and lead senior, journeyman and junior level support personnel....",SIGINT Systems Engineer SME,user+support,Indeed
2607,"Wright-Patterson AFB, OH",MTS,user+support,"
The candidate will provide database configuration maintenance, training and continued functional support. Provide the initial population of CCaR user accounts,...",Business Analyst,user+support,Indeed
2608,"Dayton, OH",Wright State University,user+support,"
To facilitate user access to Libraries’ materials by:. By ensuring that materials are processed and made available for use in a timely manner, and by maximizing...",Catalog and Authority Control Librarian,user+support,Indeed
2609,"Columbus, OH",Alternate Solutions Homecare,user+support,"
You will enjoy an extensive clinical support team and user-friendly technology. Alternate Solutions Health Network is looking for passionate and driven Licensed...",LPN Weekend Home Health,user+support,Indeed
2610,"Columbus, OH 43230",The Paragon Group,user+support,"
Inbound call/email support:. The Paragon Group is a Columbus, Ohio based Information Technology firm delivering high quality, cost effective resources to a...",Sales Support - French Speaking,user+support,Indeed
2611,"Washington Court House, OH 43160",Sugar Creek Packing Co.,user+support,"
To develop intuitive user interfaces. Support all safety, food quality and sanitation initiatives and policies....",Information Technology - System Architect Junior,user+support,Indeed
2612,"Columbus, OH",dsig inc,user+support,"
Provide routine security and general support (tickets, ad-hoc requests, etc.). Strong understanding of prioritization stemming from the elicitation of system...",security speicalist,user+support,Indeed
2613,"Wright-Patterson AFB, OH","PE Systems, Inc",user+support,"
Provides assistance in risk management,project management, process improvement support, and logistics support....","1069 Defensive Mgmt System, Modernization Program Mgmt, Sr",user+support,Indeed
2614,"Cincinnati, OH 45202 (Mount Adams area)",Necco,user+support,"
Develop and execute strategic communication plans that support ongoing strategic business initiatives,. Partner with program and team leaders to support the...",Marketing/Communications Director,user+support,Indeed
2615,"Cincinnati, OH",Great American Insurance Group,user+support,"
Support may vary in length, complexity and tasks. The Resource Group services all of Property & Inland Marine’s field offices by providing a variety of issuing...",Underwriting Analyst,user+support,Indeed
2616,"Cincinnati, OH",Great American Insurance Group,user+support,"
Define coverage elements needed for policy verification for claims Design screens based on business requirements Letters and form template design Activity...",Business Analyst,user+support,Indeed
2617,"Cincinnati, OH 45275 (Corryville area)",CACI,user+support,"
CACI is seeking a part-time Web Designer to support efforts with the Education and Information Division (EID) within the National Institute for Occupational...",Web Designer (Part-Time),user+support,Indeed
2618,"New Albany, OH 43054",Discover Financial Services,user+support,"
Interviewing clients and authorized users to verify information and identity. And at a company that rewards dedication, values innovation and supports growth....",Collections Specialist (Card Member Assistant),user+support,Indeed
2619,"Dayton, OH 45402 (Downtown area)",CareSource,user+support,"
Contribute to and/or develop user stories or provide user story guidance for sprint planning. Provides analytical support and leadership for key Claims-related...",Sr Operations Analyst,user+support,Indeed
2620,"Findlay, OH",Blanchard Valley Health System,user+support,"
Lends support to Forms Committee as required. The primary purpose of this position is to support the integrity of the electronic health record (EHR) by ensuring...",HIS - Document Management Technician - PRN,user+support,Indeed
2621,"Richmond, IN",Reid Hospital & Health Care Services,user+support,"
Has a working understanding of Active Directory, Microsoft Exchange user profiles, user environments, directories, and network printing....",Network Analyst,user+support,Indeed
2622,"Cincinnati, OH 45233",Mount St. Joseph University,user+support,"
Provide second level support for all user network related issues. Information Services & Support (ISS)*. Consult users to determine computing system needs....",Network Administrator,user+support,Indeed
2623,"Cincinnati, OH","Resolvit, LLC",user+support,"
You will provide internal user support, training, and education related to work products. Professional support from a dedicated Business Services Manager....",XML Schema Data Modeler,user+support,Indeed
2624,"Cincinnati, OH 45275 (Corryville area)",CACI,user+support,"
CACI is seeking a Web Designer to support efforts with the Education and Information Division (EID) within the National Institute for Occupational Safety and...",Web Designer,user+support,Indeed
2625,"Springfield, OH 45505",McGregor Metalworking Companies,user+support,"
Provides ERP system support to the general user community. Coordinates and conducts user training efforts across all departments on both ERP and desktop...",Applications Administrator,user+support,Indeed
2626,"Columbus, OH 43215 (Downtown area)","Continental Building Co., a division of Continenta...",user+support,"
Assist with troubleshooting of user registration for online Plan Room. General Contractor / Construction Manager is seeking a professional individual for an...",Pre-Construction Department Assistant,user+support,Indeed
2627,"Columbus, OH 43201 (Weinland Park area)",Battelle,user+support,"
You will move seamlessly between user research and concept generation into final design and development. As part of the Battelle Consumer, Industrial, and...",Research Associate,user+support,Indeed
2628,"Cincinnati, OH",Odyssey Pursuit Enterprises LLC,user+support,"
Product Support Specialist*. You will work with existing and prospective customers&mdash;training on specific software products, troubleshooting user issues,...",Product Support Specialist,user+support,Indeed
2629,"Cincinnati, OH",Fifth Third Bank,user+support,"
Supports cross-functional project teams through user-centered design (UCD) activities, blending business and end-user goals to create user experiences tailored...",User Experience Designer,user+support,Indeed
2630,"Cincinnati, OH 45201 (Mount Adams area)",Constellation Brands,user+support,"
User of PowerPoint and Word. Supports the Category Strategy Manager (CSM) and. Identify, support, and defend the best interests the....","Analyst, Category (Cincinnati, OH) - Beer Division",user+support,Indeed
2631,"Westerville, OH 43082",Exel,user+support,"
Conducts time studies and methods analyses to provide LMS maintenance support related to engineered standards....",LMS Engineer,user+support,Indeed
2632,"Versailles, OH",Midmark Corporation,user+support,"
Remotely support and perform complex technical duties related to Midmark products. Escalated service calls from technical support specialist I would also be...","Technician,Service",user+support,Indeed
